Model,Dimensions,CV-ROC-AUC,ROC-AUC,Accuracy,Precision,Recall,F1-score
Dummy,8,0.5,0.5,0.5,0.0,0.0,0.0
Sig-SVC,8,0.8820366666666667,0.9123040000000001,0.832,0.8539445628997868,0.801,0.826625386996904
Dummy,16,0.5,0.5,0.5,0.0,0.0,0.0
Sig-SVC,16,0.9472811111111114,0.9632650000000001,0.8655,0.9517923362175525,0.77,0.8512990602542841
Dummy,32,0.5,0.5,0.5,0.0,0.0,0.0
Sig-SVC,32,0.9573077777777778,0.97602,0.886,0.9562647754137116,0.809,0.8764897074756229
Dummy,64,0.5,0.5,0.5,0.0,0.0,0.0
Sig-SVC,64,0.9714833333333333,0.9814189999999999,0.9075,0.96045197740113,0.85,0.9018567639257294
Dummy,128,0.5,0.5,0.5,0.0,0.0,0.0
Sig-SVC,128,0.9539900000000001,0.966167,0.8685,0.9477521263669502,0.78,0.8557323093801427
