Model,Dimensions,Strategy,Kernel,C,Gamma
Dummy,8,most_frequent,,,
Sig-SVC,8,,sigmoid,7.183758655813988,0.0019777828512462727
Dummy,16,most_frequent,,,
Sig-SVC,16,,sigmoid,1.0907475835157696,0.004809461967501573
Dummy,32,most_frequent,,,
Sig-SVC,32,,sigmoid,7.183758655813988,0.0019777828512462727
Dummy,64,most_frequent,,,
Sig-SVC,64,,sigmoid,7.183758655813988,0.0019777828512462727
Dummy,128,most_frequent,,,
Sig-SVC,128,,sigmoid,0.9163741808778786,0.0015339162591163618
Dummy,256,most_frequent,,,
Sig-SVC,256,,sigmoid,0.9163741808778786,0.0015339162591163618
